"cliid","nome","cpf"
"0","Tyrone","672725467"
"1","Kurt","231502157"
"2","Gail","812044241"
"3","Chelsea","120714823"
"4","Stewart","487680616"
"5","Jeannie","126357721"
"6","Vernon","406814638"
"7","Pedro","267489118"
"8","Ramiro","387288228"
"9","Frankie","45960914"
"10","Myra","408260086"
"11","Ronald","534116431"
"12","Byron","495405799"
"13","Josefina","704014897"
"14","Terry","344612125"
"15","Marcus","140774319"
"16","Sue","920229686"
"17","Grant","970792215"
"18","Austin","951008025"
"19","Mandy","439518749"
"20","Nelson","815718794"
"21","Eddie","205629532"
"22","Marty","832614101"
"23","Meghan","421746118"
"24","Joyce","866672795"
"25","Guillermo","866471242"
"26","Mack","818917848"
"27","Lindsey","527535579"
"28","Glen","247658134"
"29","Jan","365606495"
"30","Julian","254496431"
"31","Felipe","666072773"
"32","Felipe","986202236"
"33","Tina","961187790"
"34","Elena","705287018"
"35","Elbert","29501218"
"36","Ollie","187484947"
"37","Terrence","681586723"
"38","Julian","340549111"
"39","Ora","401949922"
"40","Kristen","325887306"
"41","Tammy","436866821"
"42","Valerie","942117190"
"43","Nicholas","749270036"
"44","Marcus","329927631"
"45","Beulah","306044003"
"46","Luz","375168790"
"47","Luke","764717723"
"48","Lindsay","141029911"
"49","Larry","509324795"
"50","Sheila","788059920"
"51","Alberto","554607506"
"52","Doreen","574399072"
"53","Geraldine","982710874"
"54","Elena","498692114"
"55","Anna","741939087"
"56","Bessie","104219506"
"57","Shelly","691307578"
"58","Mathew","687866366"
"59","Marty","264130428"
"60","Roberta","978690898"
"61","Ramon","720516191"
"62","Susan","845885176"
"63","Camille","220526487"
"64","Essie","46563271"
"65","Troy","947580926"
"66","Arnold","744635634"
"67","Dale","556952880"
"68","Ricardo","128548965"
"69","Jessie","580791842"
"70","Andre","719209493"
"71","William","114114277"
"72","Israel","836522639"
"73","Donna","428853305"
"74","Sherman","568556300"
"75","Isabel","683299791"
"76","Lynn","934125022"
"77","Adrienne","126400694"
"78","Roberta","996725622"
"79","Dianne","238813276"
"80","Shari","833718116"
"81","Alex","519518478"
"82","Helen","770210586"
"83","Percy","791194364"
"84","Stella","606950509"
"85","Kelley","904904736"
"86","Alton","273666640"
"87","Ramona","749252478"
"88","Reginald","738918930"
"89","Dave","949373393"
"90","Kenneth","109576024"
"91","Bradley","828291240"
"92","Beulah","746649"
"93","Chester","317472693"
"94","Camille","857818432"
"95","Lana","601298156"
"96","Rickey","890668212"
"97","Patty","135754674"
"98","Genevieve","672815814"
"99","Paul","942434789"
"100","Billy","388567980"
"101","Kirk","881181368"
"102","Christina","30289642"
"103","Perry","944042690"
"104","Elaine","991295584"
"105","Blanche","160443730"
"106","Jody","487186026"
"107","Derrick","495609702"
"108","Lindsey","171881899"
"109","Ricardo","208599041"
"110","Tammy","107143844"
"111","Max","809166190"
"112","Sheila","530238863"
"113","Delbert","325949778"
"114","Gretchen","967428479"
"115","Paul","454988655"
"116","Camille","196405014"
"117","Marvin","750778909"
"118","Freda","946911431"
"119","Darnell","971778500"
"120","Domingo","779385988"
"121","Merle","501211039"
"122","Carole","360025398"
"123","Jonathan","462319423"
"124","Ellen","170201522"
"125","Krystal","462608105"
"126","Gerardo","154892083"
"127","Lewis","236851337"
"128","Carla","314016683"
"129","Brooke","524888355"
"130","Jerome","658738041"
"131","Dominic","111123601"
"132","Minnie","557797277"
"133","Patsy","363654384"
"134","Rachel","615350459"
"135","Alexandra","683201352"
"136","Dana","140844362"
"137","Marlon","253525358"
"138","Candice","404137362"
"139","Justin","388416138"
"140","Alma","277046431"
"141","Charles","694333581"
"142","Joseph","225690910"
"143","Alma","642222314"
"144","Violet","598048778"
"145","Dianne","427902312"
"146","Derek","234827583"
"147","Susan","194403526"
"148","Vanessa","855458030"
"149","Julia","494969427"
"150","Clark","222132109"
"151","Flora","24520883"
"152","Max","496625141"
"153","Antonia","914957647"
"154","Rosie","653032386"
"155","Gina","426989048"
"156","Erik","180604740"
"157","Darin","245508697"
"158","Aubrey","242019736"
"159","Leigh","344314601"
