"zona","cnh","datahorain","datahoraout","kmin"
"Port Jesse 102","100000","2024-03-01 04:00:00","2024-03-01 04:00:00",3282
"Albaboro 103","100001","2024-03-01 04:00:00","2024-03-01 04:00:00",9473
"Freddyfort 104","100002","2024-03-01 04:00:00","2024-03-01 04:00:00",818
"Wylie 105","100003","2024-03-01 04:00:00","2024-03-01 04:00:00",6639
"North Chancechester 106","100004","2024-03-01 04:00:00","2024-03-01 04:00:00",5757
"North Connie 107","100005","2024-03-01 04:00:00","2024-03-01 04:00:00",7803
"Lake Malvina 108","100006","2024-03-01 04:00:00","2024-03-01 04:00:00",1754
"South Hildegard 109","100007","2024-03-01 04:00:00","2024-03-01 04:00:00",8660
"Medhurstburgh 110","100008","2024-03-01 04:00:00","2024-03-01 04:00:00",6375
"Arnoldland 111","100009","2024-03-01 04:00:00","2024-03-01 04:00:00",6403
"Haltom City 112","100010","2024-03-01 04:00:00","2024-03-01 04:00:00",6440
"Lake Freemanboro 113","100011","2024-03-01 04:00:00","2024-03-01 04:00:00",7015
"West Ophelia 114","100012","2024-03-01 04:00:00","2024-03-01 04:00:00",8928
"West Moniquechester 115","100013","2024-03-01 04:00:00","2024-03-01 04:00:00",2158
"Fort Janiya 116","100014","2024-03-01 04:00:00","2024-03-01 04:00:00",1131
"Lake Floydberg 117","100015","2024-03-01 04:00:00","2024-03-01 04:00:00",4455
"Lexiestead 118","100016","2024-03-01 04:00:00","2024-03-01 04:00:00",4399
"Des Plaines 119","100017","2024-03-01 04:00:00","2024-03-01 04:00:00",3706
"Claramouth 120","100018","2024-03-01 04:00:00","2024-03-01 04:00:00",2224
"Lake Madonna 121","100019","2024-03-01 04:00:00","2024-03-01 04:00:00",1359
"Brockton 122","100020","2024-03-01 04:00:00","2024-03-01 04:00:00",8975
"Lake Simone 123","100021","2024-03-01 04:00:00","2024-03-01 04:00:00",6499
"North Andersontown 124","100022","2024-03-01 04:00:00","2024-03-01 04:00:00",7680
"Lake Marisol 125","100023","2024-03-01 04:00:00","2024-03-01 04:00:00",5291
"South Micheal 126","100024","2024-03-01 04:00:00","2024-03-01 04:00:00",3439
"Thornton 127","100025","2024-03-01 04:00:00","2024-03-01 04:00:00",9981
"South Izaiah 128","100026","2024-03-01 04:00:00","2024-03-01 04:00:00",791
"Houston 129","100027","2024-03-01 04:00:00","2024-03-01 04:00:00",3430
"Daxstad 130","100028","2024-03-01 04:00:00","2024-03-01 04:00:00",1735
"Fort Melbashire 131","100029","2024-03-01 04:00:00","2024-03-01 04:00:00",131
