"cnh","nome","cnhvalid","placa"
"100000","Jean",1,"PM29MSV"
"100001","Muriel",1,"KR24SRE"
"100002","Craig",1,"XC90PMG"
"100003","Alvin",1,"HK86DCA"
"100004","Cory",1,"EZ26THW"
"100005","Ida",1,"YE14JVR"
"100006","Jimmy",1,"FL80WPZ"
"100007","Elaine",1,"YA74AGX"
"100008","Archie",1,"HD27OPZ"
"100009","Jean",1,"VO41YTS"
"100010","Earnest",1,"DE69OBN"
"100011","Israel",1,"BA31YTD"
"100012","Lila",1,"UN64KCY"
"100013","Owen",1,"HA71GYJ"
"100014","Hector",1,"RP32UMU"
"100015","Elsie",1,"OL90UOK"
"100016","Lester",1,"RT75FXE"
"100017","Jim",1,"AH57LSG"
"100018","Fernando",1,"RQ42RJQ"
"100019","Herman",1,"HA52BKE"
"100020","Doris",1,"MR11ESX"
"100021","Ruby",1,"QZ22HAJ"
"100022","Gilberto",1,"XT98TTF"
"100023","Alfred",1,"OE96FZV"
"100024","Kelvin",1,"YW55CCN"
"100025","Lawrence",1,"FW59XIJ"
"100026","Randal",1,"EV33VVD"
"100027","Tabitha",1,"JO96EAV"
"100028","Samantha",1,"LL63XJF"
"100029","Darin",1,"KQ26EEV"
"100030","Rudy",1,"IZ07NTR"
"100031","Allen",1,"MM38NBC"
"100032","Kristie",1,"JK98XTP"
"100033","Tara",1,"JO03JPY"
"100034","Anthony",1,"GV05SLH"
"100035","Kay",1,"BW87MQD"
"100036","Pearl",1,"GD08CBH"
"100037","Lindsey",1,"CI19KGJ"
"100038","Kristina",1,"CI16OUB"
"100039","Carmen",1,"NE20REM"
"100040","Lorenzo",1,"KZ51KOL"
"100041","Santos",1,"RN04RPS"
"100042","Steven",1,"MI03EMB"
"100043","Megan",1,"FK12RSO"
"100044","Nancy",1,"WS38TDH"
"100045","Lola",1,"ML54TVM"
"100046","Judy",1,"WO41GWQ"
"100047","Angie",1,"ZO48IER"
"100048","Joe",1,"TY70GBV"
"100049","Neal",1,"GN34GTU"
"100050","Gina",1,"JL46EMT"
"100051","Erin",1,"KT21JVL"
"100052","Ashley",1,"YJ35OWJ"
"100053","Kelly",1,"PP89XTP"
"100054","Laura",1,"GS36YFZ"
"100055","Agnes",1,"UV28ZYG"
"100056","George",1,"ZW13MGQ"
"100057","Genevieve",1,"VW04SIY"
"100058","Frankie",1,"BD03LJK"
"100059","Sadie",1,"TD84FLT"
"100060","Wm",1,"AD43YJZ"
"100061","Donnie",1,"UG43RFN"
"100062","Deborah",1,"IB02LXM"
"100063","Elsie",1,"UB06BHZ"
"100064","Drew",1,"MA84TGK"
"100065","Stella",1,"YX44VJI"
"100066","Clayton",1,"KB09EOU"
"100067","Justin",1,"QI54SJS"
"100068","Lee",1,"LY90PXZ"
"100069","Jan",1,"GU55SED"
"100070","Tom",1,"XB63REB"
"100071","Julian",1,"IW19EDF"
"100072","Brenda",1,"HM75ZJD"
"100073","Elsa",1,"SP83EBE"
"100074","Valerie",1,"HJ32VWX"
"100075","Ellis",1,"ZX66EII"
"100076","Wanda",1,"EW21MMQ"
"100077","Nina",1,"YP91LQC"
"100078","Sheri",1,"ML85KMU"
"100079","Margarita",1,"UK25IJQ"
"100080","Paulette",1,"UN82RFP"
"100081","Gerardo",1,"TK02BYZ"
"100082","Gwen",1,"WF12IHO"
"100083","Tommie",1,"SC69WRY"
"100084","Brandon",1,"SM10IGK"
"100085","Seth",1,"KZ51NXM"
"100086","Emmett",1,"OD75GXR"
"100087","Garrett",1,"MM85GRT"
"100088","Boyd",1,"ZF27YLD"
"100089","Moses",1,"MF53GEK"
"100090","Ora",1,"ZV55WPD"
"100091","Herman",1,"BU91SUW"
"100092","Christopher",1,"BU28SLD"
"100093","Martha",1,"QK39ERT"
"100094","Stacey",1,"OT29UWT"
"100095","Ervin",1,"ZD31QDT"
"100096","Janie",1,"ZL30GYY"
"100097","Dallas",1,"MI45GOE"
"100098","Marilyn",1,"EZ80MTP"
"100099","Shannon",1,"AL56KUX"
"100100","Doreen",1,"MW55OAL"
"100101","Darla",1,"WG48KHO"
"100102","Mercedes",1,"UP35QQC"
"100103","Luz",1,"LS32GYD"
"100104","Ernestine",1,"JT44ZFP"
"100105","Clifton",1,"XN61RJH"
"100106","Mathew",1,"VL84UNT"
"100107","Howard",1,"TR21DKE"
"100108","Marjorie",1,"TJ25UMX"
"100109","Merle",1,"MH32WNC"
"100110","Elsie",1,"YW37BZM"
"100111","Agnes",1,"YP18DMH"
"100112","Cory",1,"YO28HYM"
"100113","Moses",1,"AR78BLO"
"100114","Taylor",1,"BE12JMR"
"100115","Ed",1,"JB05TLH"
"100116","Troy",1,"SW20PTW"
"100117","Rosie",1,"ZP94GHW"
"100118","Alfredo",1,"XQ54URU"
"100119","Shaun",1,"LZ27BTZ"
"100120","Debra",1,"GL58RNZ"
"100121","Cecilia",1,"QS92TXU"
"100122","Kelly",1,"HX01LNJ"
"100123","Kenneth",1,"QM70AYA"
"100124","Judy",1,"KR25PSC"
